pn,alias,direction,industry,rel_day,pub_date,provider,title,content,news_id,category,labeler,relevance,stance_label,confidence,reason
48,첨단전략산업법,+,2차전지/에너지,16,2024-04-25,쿠키뉴스,"안동시의회, ‘경북 바이오·백신 특화단지’ 지정 성명서 발표","안동시의회 청사 전경. 안동시의회 제공



 
경북 안동시의회가 정부 바이오 국가첨단전략산업 특화단지를 ‘경북 바이오·백신 특화단지’로 지정해야 한다는 성명서를 발표했다. 
 
안동시의회는 25일 성명서를 통해 “안동은 동물세포실증지원센터, 백신상용화기술지원센터, 국가첨단백신개발센터, 경북바이오연구원(GIB), 국제백신연구소(IVI) 안동분원 등 바이오와",04102008.20240425171559001,"지역>충남, 지역>경북, 지역>대구",,,,,
50,그린뉴딜,+,2차전지/에너지,0,2020-07-14,데일리안,<포토> 문재인 대통령 '한국판 뉴딜' 종합계획 국민 보고,14일 오후 서울 용산구 서울역 역사 내에서 시민들이 문재인 대통령의 한국판 뉴딜 국민보고대회 생중계를 시청하고 있다.,04100158.20200714144158003,정치>청와대,,,,,
14,공매도 금지 2차,+,금융/증권,-1,2011-08-09,이투데이,금융당국 비상금융합동점검회의…“시장 과민반응”(종합),"[이투데이] 안경주 기자(ahnkj@etoday.co.kr)금융위원회와 금융감독원은 9일 오전 신제윤 금융위 부위원장 주재로 '비상금융합동점검회의'를 개최했다. 이날 회의에선 국내 금융시장과 간밤의 국제 금융시장의 동향을 점검하고 대응방안을 논의했다.이날 회의 참석자들은 최근 주식시장의 하락폭이 상대적으로 큰 이유와 관련 ""우리의 자본?외환시장의 개방도가 ",02100351.20110809150000200,"경제>금융_재테크, 정치>정치일반",,,,,
45,EU CBAM,-,2차전지/에너지,0,2021-07-14,헤럴드경제,"탄소배출 많은 수입품에 稅 부과…EU, 대규모 탄소 배출 감축 계획 발표","[헤럴드경제=손미정 기자] 유럽연합(EU)이 대규모 탄소 배출 감축 계획을 제안할 예정인 것으로 알려졌다. 여기에는 화석연료 사용을 단계적으로 줄여나가는 것을 비롯, 탄소 배출량이 많은 제품에 세금을 부과하는 방안도 포함된 것으로 전해졌다. 
 
 14일(현지시간) 뉴욕타임스(NYT) 등에 따르면 EU 행정부 격인 EU집행위원회는 이날 역내 온실가스 순배출",02100701.20210714211523001,"국제>유럽_EU, 국제>미국_북미, 경제>자동차",,,,,
33,황우석 폭로,-,바이오/제약,-9,2005-12-06,SBS,"황우석 연구팀, 어떻게 구성되어 있나?","세 연구원들은 누구? PD수첩 최초 제보자 지목 A씨 황우석 교수팀 '내부 제보자' 있 그러면, 황우석 교수의 연구팀은 어떻게 이뤄져 있을까요?줄기세포 연구팀과 장기이식 등을 연구하는 이종장기 연구팀.그리고, 동물복제 등을 연구하는 질병저항 동물 연구팀.이렇게 3개 팀의 모두 30여 명으로 구성돼 있습니다.이중에 줄기세포 연구팀은 강성근, 윤현수 교수가 이",08100301.20051206235141001,"문화>학술_문화재, 사회>사회일반, 문화>출판",,,,,
37,바이오 육성,+,바이오/제약,0,2019-05-22,매일신문,"文대통령 ""바이오헬스 앞서갈 적기"", 바이오 빅데이터·R&D에 연간 4조원 투자","문재인 대통령은 ""지금이 우리에게는 바이오헬스 세계시장을 앞서갈 최적의 기회""라며 ""제약과 생명공학 산업이 우리 경제를 이끌어갈 시대도 머지않았다""고 22일 말했다. 
 
 문 대통령은 이날 바이오헬스 국가비전 선포식에 참석해 이같이 언급한 뒤 ""바이오헬스라는 새로운 영역에서 우리나라가 세계 최고가 된다면 건강하게 오래 사는 소망이 가장 먼저 대한민국에서 ",01500601.20190522172238001,"경제>무역, 경제>반도체, 경제>취업_창업",,,,,
47,배터리 전략,+,2차전지/에너지,-11,2022-10-21,아시아투데이,中 염성 중요 프로젝트 쾌속 추진 플랫폼 가동,아시아투데이 홍순도 베이징 특파원 = 구슬이 서 말이라도 꿰어야 보배라는 말이 있다. 기업들의 각종 사업들도 마찬가지라고 해야 한다. 아무리 기가 막힌 천하의 엄청난 사업이라고 해도 추진이 지지부진하면 크게 의미가 없다. 무슨 수를 써서라도 빠르게 발전적으로 추진해야 빛이 난다. 장쑤(江蘇)성에서도 내로라 하는 경제 도시인 염성(鹽城·옌청)시의 경제기술개발,01100751.20221021172805001,경제>국제경제,,,,,
43,재생에너지 3020,+,2차전지/에너지,0,2017-12-20,이데일리,"""대형 프로젝트+국민참여 발전사업"" ...재생에너지 3020 이행계획안 발표","[이데일리 김일중 기자]2030년까지 재생에너지 발전량 비중을 20%로 늘리겠다는 정부 목표를 이루기 위한 실행계획이 공개된다. 

산업통상자원부는 20일 서울 마포구 상암동 에너지드림센터에서 백운규 산업부 장관 주재로 관계부처, 지자체, 시민단체, 업계, 학계 등 20여명이 참석한 ‘제2회 재생에너지 정책협의회’를 개최해 ‘재생에너지 3020 이행계획(안",04101008.20171220081141001,경제>경제일반,,,,,
23,8·31 대책,-,부동산/건설,1,2005-09-01,매일신문,8`31 부동산 대책 …엇갈린 반응,"정부의 8·31 부동산 대책으로 인한 향후 시장 예측이 엇갈리고 있다. 전문가들조차 ""극단적인 처방으로 투기세력이 발을 못 붙이게 됐다"" ""핵심은 빠져 부동산시장에 별 다른 영향은 미치지 않을 것""이라는 서로 다른 견해를 내놓고 있다. 대구의 경우 대책안 윤곽이 잡히기 시작한 이달 중순부터 부동산시장은 관망세를 유지해왔다. 모두가 강력한 대책이 나와 부동산",01500601.20050901094000001,"경제>부동산, 경제>산업_기업, 경제>금융_재테크",,,,,
21,주택활성화,+,부동산/건설,-16,1998-05-06,중앙일보,[DJ 개혁]'국민의 정부'출범 3달째…중간점검,"'국민의 정부' 가 출범한 지 세달째 접어들었다.국가파탄 일보 직전에서 정권을 넘겨받은 새 정부는 각종 개혁조치를 추진하고 있다.

 그 결과 외환위기를 넘기는 데는 일단 성공했다.그러나 지금은 주춤하는 형국이다.

 거야 (巨野) 의 제동과 IMF체제의 제약 등이 그 주인 (主因) 으로 꼽히기도 한다.

 하지만 개혁 추진과정과 방법론상의 문제점도 적잖은",01100901.19980506005640002,"정치>행정_자치, 정치>청와대, 정치>국회_정당",,,,,
29,9·13 대책,-,부동산/건설,-11,2018-09-02,이데일리,[미리보는 이데일리 신문]미래기술 알아야 대한민국 미래 보인다,"[이데일리 원다연 기자] 다음은 3일자 이데일리 신문 주요 기사다. 

△1면

-미래기술 알아야 대한민국 미래 보인다

-대북 특사단 5명 5일 당일치기 방북

-주택수요 부추긴 임대주택 정책 국토부, 9개월 만에 정책실패 자인

-손성원 “美 경제 2020년 절벽 우려…내년엔 금리인상 힘들 듯”

-[사설] 생산적 정기국회로 국민에게 희망 줘야

-[사",04101008.20180902221014001,"경제>산업_기업, 경제>국제경제, 경제>증권_증시",,,,,
31,의약분업,-,바이오/제약,-4,2000-06-27,경남신문,추경예산 2조4천억원 편성,"정부는 저소득층에 대한 생계안정지원과 의약분업등 현안 소요에 대처하기 위해 2조4천억원 규모의 추경예산을 편성키로 했다.
이번 추경으로 올해 일반회계와 재특순세입을 더한 재정규모는 당초 92조6천억원(재정규모증가율 4.7%)에서 95조원(7.4%)으로 늘어나게 된다.
정부는 27일 국무회의에서 이같은 내용의 2000년 추가경정예산(안)을 심의·의결하고 이달",01500051.20000627214308102,"지역>전북, 지역>경남, 지역>경기",,,,,
42,전기차 보조금,+,2차전지/에너지,-4,2013-12-26,전자신문,[내년 달라지는 것들]산업,"해외로 제조·생산 시설을 이전했던 우리 기업의 국내 복귀를 돕는 `유턴기업지원법`이 새해 본격 시행된다. 유턴기업지원법은 해외 진출기업의 국내 유턴을 촉진해 투자 활성화와 고용 창출을 이루기 위해 마련된 법이다. 지난 7일부터 시행됐다. 정부는 법에 따라 유턴기업 선정 절차를 진행, 새해부터 국내 복귀 지원을 구체화할 계획이다.유턴기업에는 △법인소득세(해외",07100501.20131226104332023,"경제>무역, 경제>자동차, 경제>금융_재테크",,,,,
49,IRA 축소,-,2차전지/에너지,0,2025-05-01,한국경제,에릭 트럼프도 찍었다…가상자산 전성기는 이제 시작 [토큰 2049 두바이 현장+],"글로벌 블록체인 컨퍼런스 '토큰 2049 두바이(TOKEN 2049 Dubai)'가 4월 30일부터 1일까지 이틀간 두바이 마디낫 주메이라(Madinat Jumeirah)에서 개최됐다. 
 
토큰 2049는 매년 두바이와 싱가포르에서 진행되는 글로벌 웹3 컨퍼런스로, 두바이 컨퍼런스는 4월, 싱가포르 컨퍼런스는 9월 진행된다. 이번 토큰 2049 두바이에는",02100601.20250501212237001,"경제>금융_재테크, 경제>국제경제, 경제>증권_증시",,,,,
34,시밀러 가이드,+,바이오/제약,-1,2009-07-14,이투데이,"식약청 ""바이오시밀러 국제 가이드라인 마무리 단계""","조상희 기자@이투데이 [ mountjo@e-today.co.kr ]식품의약품안전청은 오는 15, 16일에 열리는 국제 바이오시밀러 가이드라인 최종검토를 위한 WHO(세계보건기구) 회의에 참석한다고 14일 밝혔다.식약청에 따르면 WHO는 2007년부터 준비해 온 바이오시밀러에 대한 국제 가이드라인을 올해 10월 산하 심의기구인 ECBS 회의에 상정해 최종 확",02100351.20090714150555001,,,,,,
19,금투세 폐지,+,금융/증권,-12,2024-10-23,아주경제,"""금투세 혼란 피하자"" 개미, 韓증시 탈출…예탁금·거래대금·빚투 모두 줄며 해외로","[자료=한국거래소]개인투자자 고객예탁금과 거래대금, 빚투가 모두 감소세를 이어가고 있다. 금융투자업계는 금융투자소득세(금투세) 존폐 여부가 결정되지 않은 점이 자본시장에 혼란을 야기한다는 분석을 내놓고 있다.  
  
22일 한국거래소에 따르면 지난 18일 기준 투자자예탁금은 51조2524억원이었다. 지난 1월 2일 59조4948억원 대비 13.85%(8조",02100851.20241023060221001,"경제>증권_증시, 경제>금융_재테크, 경제>무역",,,,,
44,ESS 화재,-,2차전지/에너지,-25,2019-07-07,한국경제,"ESS, 3분의 1이 가동중단인데…","[ 이태훈/구은서 기자 ]에너지저장장치(ESS)는 재생에너지 보급을 늘리기 위한 필수 설비다. 태양광은 해가 떠있을 때만, 풍력은 바람이 불 때만 전력을 생산할 수 있다. ESS는 전력을 저장했다 필요할 때 꺼내 쓸 수 있게 하는 장치로 재생에너지의 ‘간헐성’을 보완해 준다. 
 
7일 업계에 따르면 국내에는 1490개의 ESS가 있다. 이 중 3분의 1인",02100601.20190707181524002,"지역>강원, 지역>경기, 지역>대전",,,,,
