pn,alias,industry,rel_day,pub_date,provider,title,content,news_id,category,relevance,stance_label,confidence,reason
25,보금자리 150만,부동산/건설,-16,2008-09-03,경상일보,"[정치]""울산 성장 통한 대한민국 성장 확신""","[정치]""울산 성장 통한 대한민국 성장 확신"" 이 대통령, GB 해제 신중한 접근 산업단지 조성 동의 [2008.09.03 23:06] 이명박 대통령(맨 오른쪽)이 참석한 가운데 열린 울산발전 토론회가 3일 울산시의사당 대회의실에서 열렸다. 임규동기자 photolim@ksilbo.co.kr ■ 울산발전 토론회 이 대통령 및 장관 답변
울산~포항 테크노벨트 ",01500301.20160202205108815,"지역>울산, 지역>대전, 정치>청와대",,,,
32,줄기세포 육성,바이오/제약,-6,2005-05-13,세계일보,"""줄기세포 원숭이 임상실험 성공한 듯""","줄기세포 연구의 세계적 권위자인 황우석 교수에게 또 다시 전세계 과학계의 관심이 쏠리고 있다. 지난해 세계최초로 인간 복제배아에서 줄기세포를 추출하는 데 성공, 전세계를 흥분시킨 황 교수가 조만간 또 한 차례 후속 연구성과를 발표할 것으로 보이기 때문이다.
12일 과학기술계에 따르면 세계적인 과학저널 ‘사이언스’는 현재 황 교수의 최신 논문 게재를 위해 관",01100701.20050513100009469,IT_과학>과학,,,,
49,IRA 축소,2차전지/에너지,-24,2025-04-07,내일신문,"트럼프 관세, 화석연료 확대도 장애","도널드 트럼프 미국 대통령의 관세폭탄이 미국 내에서 재생에너지 뿐 아니라 화석연료 확대에도 장애가 된다는 분석이 나왔다. 트럼프 대통령은 ‘드릴, 베이비, 드릴’을 외치며 석유·가스 보급 확대를 통해 미국내 에너지가격을 낮추겠다고 장담해왔다. 
 
 또 세계 에너지시장에서 중국과 인도에게 유리한 기회를 제공할 것이란 전망이 제기됐다. 
 
 뉴욕타임즈는 최",01100301.20250407130322001,"경제>무역, 국제>미국_북미, 경제>자원",,,,
41,녹색성장,2차전지/에너지,1,2009-07-07,중부일보,"여주군 ""목재펠릿"" 성공 전국에 전파","여주군이 산림 바이오에너지 생산 수범 지자체로 사례를 발표하는 등 지난해 말부터 산림조합 목재유통센터 ‘펠릿 공장’을 가동, 중앙 정부의 관심과 홍보 효과를 극대화 하고 있다. 

6일 여주군에 따르면 이기수 군수가 8일 서울 홍릉수목원에서 열리는 ‘전국 시장·군수·구청장 초청 목재 펠릿 산업화 정책설명회’에서 지자체 추진 성공 사례를 발표한다. 

목재 ",01400501.20090707024832003,"지역>강원, 지역>경기, 지역>전남",,,,
4,소부장 대책,반도체,0,2019-08-05,머니투데이,[사진]'소재·부품·장비' 경쟁령 강화 대책 브리핑,"[머니투데이 김휘선 기자] 
성윤모 산업통상자원부 장관(가운데)이 5일 오전 서울정부청사에서 열린 '소재부품장비 경쟁력 강화 대책 브리핑'에 참석해 발언을 하고 있다.

왼쪽부터 박천규 환경부 차관, 구윤철 기획재정부 제2차관, 유영민 과학기술정보통신부 장관, 성 장관, 박영선 중소벤처기업부 장관, 윤종인 행정안전부 차관, 최종구 금융위원장.",02100201.20190805103350001,"경제>경제일반, 사회>환경, 정치>청와대",,,,
15,공매도 금지 3차,금융/증권,-5,2020-03-11,세계일보,"공매도 금지하자 폭락 장에도 주가 올라… 정부, 29개 종목 새로 지정","정부의 공매도 규제 강화 이틀째인 11일 과열종목이 29개가 지정됐다. 규제 강화 전보다 크게 늘어난 수치다. 전날 새 기준에 따라 과열종목으로 지정된 11개 종목 중 9개는 이날 주식시장이 3% 넘게 하락하는 와중에도 주가가 상승했다. 
 
 이날 한국거래소 공매도종합포털에 따르면 공매도 과열종목으로 지정된 종목은 총 29개였다. 유가증권시장에서는 두산중",01100701.20200311230622001,"경제>증권_증시, 경제>부동산, 경제>유통",,,,
37,바이오 육성,바이오/제약,0,2019-05-22,매일신문,"文대통령 ""바이오헬스 앞서갈 적기"", 바이오 빅데이터·R&D에 연간 4조원 투자","문재인 대통령은 ""지금이 우리에게는 바이오헬스 세계시장을 앞서갈 최적의 기회""라며 ""제약과 생명공학 산업이 우리 경제를 이끌어갈 시대도 머지않았다""고 22일 말했다. 
 
 문 대통령은 이날 바이오헬스 국가비전 선포식에 참석해 이같이 언급한 뒤 ""바이오헬스라는 새로운 영역에서 우리나라가 세계 최고가 된다면 건강하게 오래 사는 소망이 가장 먼저 대한민국에서 ",01500601.20190522172238001,"경제>무역, 경제>반도체, 경제>취업_창업",,,,
12,리먼 파산,금융/증권,1,2008-09-16,이데일리,리먼 은행·증권서울지점 일부 영업정지(상보),"[이데일리 김수연기자] 미국 리먼브러더스의 파산보호신청에 따라 금융위원회가 리먼 은행과 증권 서울지점에 대해 영업 일부정지 조치를 내렸다.

금융위는 16일 ""리먼 서울지점의 자산을 보전해 국내 투자자를 보호하고, 이미 체결된 외환 및 파생상품 계약의 이행을 유도하기 위해 `리먼브러더스 뱅크하우스 서울지점` 및 `리먼브러더스 인터내셔날 증권 서울지점`에 대",04101008.20160308203939354,"경제>금융_재테크, 경제>증권_증시, 국제>유럽_EU",,,,
27,6·19 대책,부동산/건설,29,2017-07-18,아시아경제,"김현미 국토부 장관 ""일부 주택시장 과열 재발 우려""",[아시아경제 박민규 기자] 김현미 국토교통부 장관이 6·19 부동산 대책 이후 추가 대책 시행 의지를 내비쳤다. 6·19 대책으로 주택시장의 국지적 과열이 다소 진정됐지만 일부 지역을 중심으로 과열 재발 가능성이 있다는 판단에 따른 것이다.김 장관은 18일 정동영 국민의당 의원 주관으로 서울 여의도 국회도서관에서 열린 ‘집값 안정과 주택시장 정상화를 위한 ,02100801.20170718193054001,"경제>부동산, 정치>정치일반, 경제>외환",,,,
31,의약분업,바이오/제약,-4,2000-06-27,경남신문,추경예산 2조4천억원 편성,"정부는 저소득층에 대한 생계안정지원과 의약분업등 현안 소요에 대처하기 위해 2조4천억원 규모의 추경예산을 편성키로 했다.
이번 추경으로 올해 일반회계와 재특순세입을 더한 재정규모는 당초 92조6천억원(재정규모증가율 4.7%)에서 95조원(7.4%)으로 늘어나게 된다.
정부는 27일 국무회의에서 이같은 내용의 2000년 추가경정예산(안)을 심의·의결하고 이달",01500051.20000627214308102,"지역>전북, 지역>경남, 지역>경기",,,,
33,황우석 폭로,바이오/제약,1,2005-12-16,국민일보,"황우석 줄기세포 진위 공방 / 노성일, 황교수와 왜 결별했나","황우석 교수팀과 3년간 동고동락했던 노성일 미즈메디병원 이사장은 왜 황 교수에 등을 돌렸을까. 황 교수와 노 이사장이 16일 각각 가진 기자회견의 내용을 종합해보면 노 이사장은 황 교수가 지난 5월 사이언스 논문의 오류에 대한 책임을 미즈메디측에 물으려는 움직임에 배신감 내지 위기감을 느꼈던 것으로 보인다.
노 이사장은 이날 “황 교수가 오는 27일까지 귀",01100201.20051216100000387,IT_과학>과학,,,,
47,배터리 전략,2차전지/에너지,-11,2022-10-21,아시아투데이,中 염성 중요 프로젝트 쾌속 추진 플랫폼 가동,아시아투데이 홍순도 베이징 특파원 = 구슬이 서 말이라도 꿰어야 보배라는 말이 있다. 기업들의 각종 사업들도 마찬가지라고 해야 한다. 아무리 기가 막힌 천하의 엄청난 사업이라고 해도 추진이 지지부진하면 크게 의미가 없다. 무슨 수를 써서라도 빠르게 발전적으로 추진해야 빛이 난다. 장쑤(江蘇)성에서도 내로라 하는 경제 도시인 염성(鹽城·옌청)시의 경제기술개발,01100751.20221021172805001,경제>국제경제,,,,
